average_gas_to_oil_ratio,basin_ag_flaring_co2_emissions,basin_ag_venting_co2_emissions,facility_id,facility_name,flaring_ch4_emissions,flaring_n2o_emissions,industry_segment,natural_gas_vented_or_flared,number_of_wells_flaring,number_of_wells_venting,reporting_year,sub_basin_identifier,table_desc,table_num,venting_ch4_emissions,volume_of_gas_sent_to_sales,volume_of_oil_produced,wells_two_year_delay
3138.0251000000,8025.2000000000,,1009390,XTO Energy Inc 430 Permian,31.3400000000,0.0150000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,242.0000000000,,2021,"430 - MARTIN, TX (317) - Oil",Associated Gas Venting and Flaring,Table M.1,,22566214323.5000000000,7227171.1200000000,No
911.4214423000,,18.8940762000,1011923,White Rock Oil & Gas LLC - 395 Williston,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,4.0000000000,2018,"395 - MC KENZIE, ND (53) - Oil",Associated Gas Venting and Flaring,Table M.1,145.5539176000,2051.3700000000,16089.7500000000,No
719.0494122000,464.1981642000,,1008471,CRI 395 Williston,1.3640835000,0.0007165000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2019,"395 - GOLDEN VALLEY, ND (33) - Oil",Associated Gas Venting and Flaring,Table M.1,,14905800.0000000000,28797.9927422000,No
5257.4532643000,,13.4000000000,1008331,Ovintiv USA Inc - Permian Basin,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,66.0000000000,2017,"430 - HOWARD, TX (227) - Oil",Associated Gas Venting and Flaring,Table M.1,507.0000000000,0E-10,184821.6228400000,No
570769.2555364000,,1.0172165000,1008630,BPX Operating Company,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,12.0000000000,2020,"220 - MC MULLEN, TX (311) - Shale gas",Associated Gas Venting and Flaring,Table M.1,8.8859172000,0E-10,4342.8949351000,No
2336.6522000000,742.0000000000,,1008275,XTO Energy Inc 395 Williston,2.1400000000,0.0010000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,3.0000000000,,2021,"395 - MOUNTRAIL, ND (61) - Oil",Associated Gas Venting and Flaring,Table M.1,,46653920.7000000000,23918.7000000000,No
706.9536979000,10843.5265366000,,1011873,"Lime Rock Resources III-A, Williston Basin",28.7856956000,0.0143080000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,198.0000000000,,2022,"395 - DUNN, ND (25) - Oil",Associated Gas Venting and Flaring,Table M.1,,1269084720.0000000000,1959027.4500000000,No
1229.5801493000,12378.2490389000,,1008577,Basin 395 North Dakota - OSP,29.1219389000,0.0187972000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,67.0000000000,,2020,"395 - MOUNTRAIL, ND (61) - Oil",Associated Gas Venting and Flaring,Table M.1,,634493000.0000000000,767129.2800000000,No
5134.2379709000,18597.0557766000,,1012059,SHD Oil & Gas Williston (395) Basin,32.7813774000,0.0316165000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,13.0000000000,,2022,"395 - MC KENZIE, ND (53) - Oil",Associated Gas Venting and Flaring,Table M.1,,41405.0000000000,30818.9383454000,No
2609.6612954000,10201.6729563000,,1011534,BBOG Gulf Coast Basin #220,39.0221333000,0.0183214000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,22.0000000000,,2019,"220 - KARNES, TX (255) - Oil",Associated Gas Venting and Flaring,Table M.1,,703110029.6950748000,292965.6293494000,No
275.8000000000,23646.0000000000,,1009391,Apache Corporation - Permian Basin 430,98.7900000000,0.0430000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,189.0000000000,,2019,"430 - ANDREWS, TX (3) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,1252445.2200000000,No
3815.1679495000,2754.5260874000,,1008113,MurphyE&P-220,9.2752446000,0.0048767000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,4.0000000000,,2023,"220 - ATASCOSA, TX (13) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,13037.0000000000,No
1527.7026801000,35423.6000000000,0E-10,1008490,Hess Corporation - 395 - Williston Basin,89.3200000000,0.0487848000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,121.0000000000,,2016,"395 - DUNN, ND (25) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,4314669000.0000000000,3082856.4100000000,No
500.0000000000,,0.1888199000,1014369,"Ring Energy, Inc",,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,16.0000000000,2021,"430 - LEA, NM (25) - Oil",Associated Gas Venting and Flaring,Table M.1,0.6558060000,0E-10,114.0734246000,No
9528.0191000000,374.3000000000,,1009390,XTO Energy Inc 430 Permian,1.2700000000,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,161.0000000000,,2021,"430 - YOAKUM, TX (501) - Oil",Associated Gas Venting and Flaring,Table M.1,,630916244.0000000000,66977.8600000000,No
6113.7025418000,0E-10,,1008639,Citation Oil & Gas Corp. 430 Permian Basin,0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,3.0000000000,,2020,"430 - MIDLAND, TX (329) - Oil",Associated Gas Venting and Flaring,Table M.1,,56416330.0000000000,9227.8500000000,No
2542.0000000000,896.0248101000,,1013023,"Sundance Energy, Inc. - South Texas Basin",3.3203797000,0.0015063000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,102.0000000000,,2021,"220 - LIVE OAK, TX (297) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,4180.2784810000,No
1614.6140453000,43434.7615604000,,1008471,CRI 395 Williston,129.6361773000,0.0728025000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,295.0000000000,,2016,"395 - RICHLAND, MT (83) - Oil",Associated Gas Venting and Flaring,Table M.1,,123837237.6954113000,369571.3277065000,No
2.2775044000,3895.0704749000,0E-10,1010190,"Williston Basin (Petro-Hunt, LLC)",14.3697332000,0.0054396000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,5.0000000000,,2017,"395 - DIVIDE, ND (23) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,44045710.0000000000,67962.7100000000,No
7037.2000000000,354.6412000000,,1008700,COTERRA ENERGY - 430 - PERMIAN BASIN,1.5454000000,0.0006240000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,12.0000000000,,2023,"430 - EDDY, NM (15) - Shale Gas",Associated Gas Venting and Flaring,Table M.1,,565634811.4000000000,81111.3000000000,No
153.1980000000,2050.8400000000,0E-10,1010684,"Goodrich Petroleum, Basin 220 (Gulf Coast Basin)",10.8500000000,0.0040000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,9.0000000000,,2017,"220 - TANGIPAHOA, LA (105) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,198837.9000000000,No
26506.8525405000,0E-10,,1008639,Citation Oil & Gas Corp. 430 Permian Basin,0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,13.0000000000,,2023,"430 - LEA, NM (25) - Oil",Associated Gas Venting and Flaring,Table M.1,,103538220.0000000000,3907.3100000000,No
876.4300000000,10472.3930502000,,1009762,Luff Exploration Company - 395 - Williston Basin,17.6270027000,0.0136723000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,24.0000000000,,2021,"395 - BOWMAN, ND (11) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,142376.6700000000,No
411.8000000000,861.8639000000,,1008219,"EOG Resources, Inc.220 Gulf Coast basin",3.1269000000,0.0014000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2019,"220 - MC MULLEN, TX (311) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,27888.5000000000,No
2303.3039124000,,0.3617875000,1008569,Citation Oil & Gas Corp. 350 South Oklahoma Folded Belt Province,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,13.0000000000,2022,"350 - GARVIN, OK (49) - Oil",Associated Gas Venting and Flaring,Table M.1,9.0056443000,43687000.0000000000,19317.3700000000,No
0E-10,,0.0029891000,1006886,"Clayton Williams Energy, Inc. - 430 Permian Basin",,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,0E-10,2015,"430 - NOLAN, TX (353) - Oil",Associated Gas Venting and Flaring,Table M.1,0.1741629000,0E-10,0E-10,No
3445.2000000000,4463.2337800000,,1009197,Whiting Oil and Gas Corporation 395 Williston Basin,0E-10,0.0022300000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,2.0000000000,,2019,"395 - DIVIDE, ND (23) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,5315.6660000000,No
