ch4_emissions,co2_emissions,facility_id,facility_name,n2o_emissions,reporting_year,quantity_of_fuel_combusted,unit_of_measure,fuel_combusted_type,combustion_unit_type
0.27,6574.7,1008229,YPC 430 Permian Basin,0.053,2015,86.11310376,1000SCF,diesel,COMB_engine>1MMBTU/hr
11.24,7284.2,1011962,Paxton Resources,0.017,2021,137239.49,1000SCF,field_process_gas,COMB_compressor-driver
9.22,488847,1010932,E&B Natural Resources,0.92,2018,8968904,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
24.87,19854.9,1013751,Basin 375 - BCE-Mach LLC,0.038,2020,310734.9699,1000SCF,field_process_gas,COMB_compressor-driver
1.01,53640.8,1008523,"Chesapeake Appalachia LLC, 160A - Appalachian Basin (Eastern Overthrust Area)",0.101,2022,985328,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1008405,California Resources Production Corporation  Sacramento Valley Basin 730,0.00E+00,2022,0,1000SCF,natural_gas_PQ,COMB_compressor-driver
1.59,965.1,1008783,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,0.002,2019,17481.58,1000SCF,field_process_gas,COMB_compressor-driver
0.03,796.3,1009357,Finley Resources Inc - Uintah Basin (575),0.006,2017,10.42965,1000SCF,diesel,COMB_engine>1MMBTU/hr
55.02,53206.7,1011803,Apache Corporation + 430 + Permian Basin,0.093,2018,750278.687,1000SCF,field_process_gas,COMB_compressor-driver
1.87,36725,1013983,Advance Energy Partners - Basin 430,0.373,2020,447811.248,1000SCF,field_process_gas,COMB_compressor-driver
0.36,254.7,1011450,Jonah Energy LLC_AAPG 535_Green River Basin,0.00E+00,2023,4203.07,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.03,650.4,1013091,Australis TMS Inc. 210 Mid-Gulf Coast Basin,0.001,2018,8.518927086,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.49,9630.5,1008308,"Shadow Wolf Energy, LLC. - Los Angeles Basin 760",0.098,2018,284086,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
3.43,5851.2,1010621,TGNR East Texas Basin,0.005,2019,37875.19,1000SCF,field_process_gas,COMB_compressor-driver
7.2,2986.3,1013386,Tug Hill Operating Appalachia,0.008,2019,34973.64,1000SCF,field_process_gas,COMB_compressor-driver
0.12,3064.2,1009728,Callon (Eagle Ford) - Basin 220,0.02,2016,40.13426753,1000SCF,diesel,COMB_compressor-driver
644.13,654485.4,1011659,Endeavor Energy Resources LP 430 Permian Basin,1.12,2023,9026466.688,1000SCF,field_process_gas,COMB_compressor-driver
3.07,75807.7,1011854,WESTERN ANDARKO BASIN (WAB) BUSINESS UNIT-BASIN 360,0.615,2018,992.9004826,1000SCF,diesel,COMB_engine>1MMBTU/hr
79.76,72337.9,1013833,Mewbourne Oil Company - Anadarko Basin 360,0.132,2018,1065257.196,1000SCF,field_process_gas,COMB_compressor-driver
142.77,114126.2,1011765,"EagleRidge Operating, LLC. Fort Worth Syncline Basin",0.223,2020,1806772.6,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,0.00E+00,1009907,"Comstock Oil & Gas, LLC",0.00E+00,2023,0,1000SCF,natural_gas_PQ,COMB_compressor-driver
4.44,108984.2,1009584,Sabine Oil & Gas Corporation - 260 - East Texas Basin,0.867,2022,1456.906841,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,437.9,1008199,Grizzly Arkoma Basin,0.001,2017,8091.5,1000SCF,natural_gas_PQ,COMB_compressor-driver
5,26507.1,1009039,WPX Energy Permian LLC,0.5,2018,404509.08,1000SCF,field_process_gas,COMB_compressor-driver
1.66,88007.3,1009706,"SilverBow Resources, LLC - Basin 220",0.17,2019,1439321.348,1000SCF,field_process_gas,COMB_compressor-driver
0.01,237.8,1008857,CRI 515 Powder River,0.002,2017,5.556699655,1000SCF,propane,COMB_boiler>5MMBTU/hr
0.06,1493.9,1013936,"Zarvona Energy, LLC (220) Gulf Coast Basin",0.012,2023,19.56615452,1000SCF,diesel,COMB_engine>1MMBTU/hr
5.60E-01,1.37E+04,1008616,XTO Energy Inc 350 South Oklahoma Folded Belt,0.111,2022,179.9030139,1000SCF,diesel,COMB_engine>1MMBTU/hr
27.22,26118.8,1011393,Ascent Resources - Utica (160),0.047,2022,368202.3037,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,0.00E+00,1008306,Riviera Resources 360 Anadarko Basin Production Segment,0.00E+00,2015,0,1000SCF,fuel_other,COMB_engine>1MMBTU/hr
56.25,32139.7,1008588,"Merit Energy Arkoma Basin, AAPG Basin 345",0.075,2021,626558.4,1000SCF,field_process_gas,COMB_compressor-driver
0.74,18431.7,1011531,WildFire Energy Operating LLC,0.147,2023,241.4118305,1000SCF,diesel,COMB_engine>1MMBTU/hr
