ch4_emissions,co2_emissions,facility_id,facility_name,n2o_emissions,reporting_year,quantity_of_fuel_combusted,unit_of_measure,fuel_combusted_type,combustion_unit_type
0.00E+00,18.8,1004905,Pacific Coast Energy Company LP,0.00E+00,2020,345.3,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
2.16,2950.1,1007485,"ConocoPhillips Gulf Coast Basin 220, Production",0.005,2023,38378.92,1000SCF,field_process_gas,COMB_compressor-driver
72.55,67698.3,1008630,BPX Operating Company,0.12,2022,975306.2206,1000SCF,field_process_gas,COMB_compressor-driver
32.82,23238.7,1000435,Merit Energy Co. South Texas 220 Gulf Coast Basin,0.048,2023,387610.8,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,135.1,1009907,"Comstock Oil & Gas, LLC",0.00E+00,2021,2481,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
0.06,3005.6,1012988,"PennEnergy Resources, LLC - Basin 160A - Appalachian Eastern Overthrust",0.006,2018,53810.52,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.12,88.8,1008783,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,0.00E+00,2017,1460,1000SCF,field_process_gas,COMB_compressor-driver
2.46,60669.8,1008503,Coterra Energy 160A Appalachian (EOA),0.49,2017,794.6297069,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.45,1587.8,1009242,San Juan Basin,0.003,2023,24869,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.92,49019.8,1009859,Blackbeard Operating - 220 - Gulf Coast Basin,0.092,2017,980697.5923,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,30.6,1012612,Hilcorp Energy Company - Wind River Basin (530),0.00E+00,2018,0.401041667,1000SCF,diesel,COMB_engine>1MMBTU/hr
5.41E+00,5319.5,1009039,WPX Energy Permian LLC,0.009,2020,72106.86,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.01,592,1010945,"EXCO Resources, Inc. - Gulf Coast Basin #220",0.001,2018,10874.01,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.85,45251.6,1010837,MATADOR PRODUCTION COMPANY,0.085,2015,830235.27,1000SCF,field_process_gas,COMB_compressor-driver
64.15,62709.8,1014344,"Grit Oil & Gas Management, LLC - Basin 220",0.109,2021,871851,1000SCF,field_process_gas,COMB_compressor-driver
3.33,2433.4,1008348,Trendwell Energy Corporation,0.004,2017,46520,1000SCF,field_process_gas,COMB_compressor-driver
1.24,30643.8,1014384,Colgate Energy,0.249,2020,401.3606219,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.17,143.2,1008783,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,0.00E+00,2017,2186.5,1000SCF,field_process_gas,COMB_compressor-driver
2.11E+01,1.84E+04,1011454,Ascent Resources - Utica (160a),0.034,2015,274795.8978,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,188.3,1008958,"EXCO Resources, Inc. - East Texas Basin #260",0.00E+00,2022,3458.25,1000SCF,natural_gas_PQ,COMB_compressor-driver
95.44,76168.9,1011895,Aethon Energy Operating-530-Wind River Basin,0.148,2020,1201473.499,1000SCF,field_process_gas,COMB_compressor-driver
0.55,323,1012509,Aethon Energy Operating-230-Arkla Basin,0.001,2018,5954.92,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.59E+00,3.93E+04,1008937,Appalachian Basin - AAPG Province 160A,0.319,2020,514.7457194,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.04,2131.5,1012040,"Tanos Exploration II, LLC - Basin 260",0.004,2016,39153,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
6.25,154132.6,1009286,PDC Energy 540 Denver Basin,1.25,2017,2018.769144,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.16,2135.1,1008299,"LAMBDA ENERGY RESOURCES, LLC-Michigan Basin",0.004,2022,30416.34,1000SCF,field_process_gas,COMB_compressor-driver
1.79E+01,19458,1008202,Denver Basin - AAPG Province 540,0.00E+00,2016,275753.7638,1000SCF,field_process_gas,COMB_compressor-driver
1.01,24865.7,1009253,"WPX Energy Williston, LLC - 395 Williston basin",0.2,2015,325.6808577,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.04,1014.7,1009125,PureWest/Green River Basin,0.008,2016,13.29038716,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,253.1,1000435,Merit Energy Co. South Texas 220 Gulf Coast Basin,0.002,2016,3.314809897,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.09E+00,26759.6,1009281,395 Williston Basin QEP Energy Company,0.217,2020,350.486488,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,21.5,1009169,345 Arkoma Basin - BP America Production Company,0.00E+00,2017,0.281798611,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.06,1303.3,1008287,360 Anadarko Basin DEC,0.012,2022,30.45305312,1000SCF,propane,COMB_engine>1MMBTU/hr
15.35,814246.3,1008163,Berry Petroleum Company - San Joaquin Basin 745,1.535,2023,14956885.36,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
0.21,5289.2,1009283,230 Arkla Basin QEP Energy Company,0.043,2016,69.27593752,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,52.2,1009170,260 East Texas Basin - BP America Production Company,0.00E+00,2015,0.68324132,1000SCF,diesel,COMB_engine>1MMBTU/hr
5.97,6237.6,1008936,Gulf Coast Basin - AAPG Province 220,0.011,2016,86451.32,1000SCF,field_process_gas,COMB_compressor-driver
3.37,83093,1009390,XTO Energy Inc 430 Permian,0.674,2015,1088.320711,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.1,21664.2,1008163,Berry Petroleum Company - San Joaquin Basin 745,0.22,2023,701546.5,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
50.58,58984.6,1008331,Ovintiv USA Inc - Permian Basin,0.146,2023,827862.416,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
4.90E-01,2.59E+04,1012664,SOUTHLAND ROYALTY COMPANY LLC-GREEN RIVER BASIN 535,0.049,2020,475985.4177,1000SCF,natural_gas_PQ,COMB_compressor-driver
2.90E-01,1.52E+04,1008982,"WPX Energy Production, LLC - 580 San Juan basin",0.03,2017,231242.72,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
2.39E+02,172048.4,1008536,"TEP Barnett USA LLC, 415 - Strawn Basin",0.353,2022,2860138,1000SCF,field_process_gas,COMB_compressor-driver
1.00E-02,3.09E+02,1008199,Grizzly Arkoma Basin,0.001,2016,5664.82,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.00E+00,1.20E+01,1009197,Whiting Oil and Gas Corporation 395 Williston Basin,0.00E+00,2023,0.182321563,1000SCF,gasoline,COMB_engine>1MMBTU/hr
0.18,9493.4,1007486,"Tanos Exploration II, LLC Arkla Basin, AAPG 230",0.018,2015,174385,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
2.76E+01,19533.3,1008378,"Crawley Petroleum Corporation, 360 Anadarko Basin",0.033,2023,321889.9458,1000SCF,field_process_gas,COMB_compressor-driver
3.00E-02,506.2,1014371,"Kraken Operating, LLC",0.006,2021,9298,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
1.52,870.4,1009511,"Alta Mesa Services, LP",0.003,2017,21013.89,1000SCF,field_process_gas,COMB_compressor-driver
6.12,14041.9,1010190,"Williston Basin (Petro-Hunt, LLC)",0.024,2023,138347.6956,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1010621,TGNR East Texas Basin,0.00E+00,2021,0,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.14,7519.5,1008406,"California Resources Elk Hills, LLC - San Joaquin Valley Production Basin",0.014,2015,138125.7,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.11,2280,1009281,395 Williston Basin QEP Energy Company,0.022,2016,53.27490974,1000SCF,propane,COMB_boiler>5MMBTU/hr
0.36,19329.4,1008053,Own Resources Operating LLC,0.036,2019,355062,1000SCF,natural_gas_PQ,COMB_compressor-driver
22.88,18158.7,1008558,360 Anadarko Basin - BP America Production Company,0.034,2016,286449.2441,1000SCF,field_process_gas,COMB_compressor-driver
48.92,3363.6,1014411,"LLOX, L.L.C. - Gulf Coast Basin (220) - Onshore Production",0.007,2023,58305.86,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
2.26,55743,1012068,Matador Production Company - Permian Basin,0.452,2015,730.1004972,1000SCF,diesel,COMB_engine>1MMBTU/hr
12.59,310298.4,1009240,Chevron MCA 430 Permian Basin,2.517,2018,4064.170035,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.76,18835.1,1011450,Jonah Energy LLC_AAPG 535_Green River Basin,0.153,2018,246.6944983,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,76.5,1008224,Apache Corporation - Gulf Coast Basin 220,0.001,2017,1.002604167,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.13,3210.5,1013087,Texas American 220 Gulf Coast Basin,0.026,2019,42.05042189,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.05,2875,1008538,"Chesapeake Operating LLC, 515 - Powder River Basin",0.005,2015,52747.42,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
1.97,48606.5,1010366,Halcon Resources Corporation 395 Williston Basin,0.394,2015,636.6295835,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.05,55951,1014100,Point Energy Partners,0.106,2022,780323.64,1000SCF,field_process_gas,COMB_compressor-driver
0.33,8163.5,1008079,XTO Energy Inc 260 East Texas,0.066,2022,106.9227882,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,1947.4,1010784,"Burnett Oil Co., Inc. 430 Permian Basin",0.00E+00,2021,25.50625001,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.78,19172.2,1013301,"Kraken Oil and Gas, LLC",0.156,2018,251.1098334,1000SCF,diesel,COMB_engine>1MMBTU/hr
13.45,9410.4,1009663,"Enervest Operating, L.L.C. 360 Anadarko Basin",0.019,2015,156512.4829,1000SCF,field_process_gas,COMB_compressor-driver
0.04,1084.5,1012947,Southwestern Production Corp Powder River Basin (515) Operations,0.009,2022,14.20390767,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1010945,"EXCO Resources, Inc. - Gulf Coast Basin #220",0.00E+00,2022,0,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.45,499.4,1008203,Powder River Basin - AAPG Province 515,0.001,2022,6606.49,1000SCF,field_process_gas,COMB_compressor-driver
13.84,341093.8,1008351,"EOG Resources, Inc. 430 Permian basin",2.77,2023,4467.515178,1000SCF,diesel,COMB_compressor-driver
19.92,19295.9,1013580,Contango Basin 360,0.00E+00,2020,271801.9906,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
6.1,150332.8,1008472,CRI 360 Anadarko,1.22,2019,1969.001545,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,55,1012952,SEP Palo Duro Basin 435 Production,0.00E+00,2018,0.720373768,1000SCF,diesel,COMB_engine>1MMBTU/hr
74.52,94802.9,1009185,"Fundare Resources Operating Company, LLC",0.145,2023,1175278.181,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
31.39,31487.3,1011761,"Extraction Oil & Gas, Inc.",0.056,2018,439353.3279,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.15,8106.1,1008401,"SWEPI LP (Shell), Appalachian Basin (Eastern Overthrust Area) 160A",0.015,2016,148901,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
14.63,21305.8,1008190,West Bay,0.032,2021,258053,1000SCF,field_process_gas,COMB_compressor-driver
0.04,971.6,1014504,CrownQuest Operating - Basin 430,0.008,2019,12.72505209,1000SCF,diesel,COMB_engine>1MMBTU/hr
24.97,23621.7,1002978,Arroyo Grande Production Facility,0.029,2017,469206,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.56,13789,1008530,Tapstone 360 - Anadarko Basin,0.112,2019,180.6027301,1000SCF,gasoline,COMB_compressor-driver
0.00E+00,1122.1,1008942,Denbury Onshore LLC 210 Mid-Gulf Coast,0.00E+00,2016,14.69758889,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,288.2,1011688,Equinor USA Onshore Properties - APB Basin 160A,0.002,2017,3.774871529,1000SCF,diesel,COMB_engine>1MMBTU/hr
36.34,5342.4,1008116,XTO Energy Inc 160A Appalachian E Overthrust,0.01,2019,96572.95,1000SCF,field_process_gas,COMB_compressor-driver
46.76,29601.4,1013080,Rockcliff Energy 260 East Texas Basin,0.065,2017,523805.4,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,76.2,1011221,Ultra Resources/Uintah Basin,0.001,2015,0.998192709,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.1,65.3,1009276,415 Strawn Basin BKV - Production,0.00E+00,2017,1159.44,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.33,17271.9,1008053,Own Resources Operating LLC,0.033,2020,317268,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.12,88.8,1008783,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,0.00E+00,2017,1460,1000SCF,field_process_gas,COMB_compressor-driver
0.01,431.3,1010294,Discovery Natural Resources LLC - 430 Permian Basin,0.001,2019,7923.27,1000SCF,field_process_gas,COMB_compressor-driver
0.05,2886.3,1008143,Newfield.430.Permian Basin,0.005,2015,53017.65,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
17.35,15971,1010183,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),0.029,2022,232016.805,1000SCF,field_process_gas,COMB_compressor-driver
63.8,35085.8,1009139,OGRIS Operating LLC,0.405,2015,674.84,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.35,18785.3,1012014,White Knight 420 Fort Worth Syncline,0.035,2016,1166868.337,1000SCF,field_process_gas,COMB_compressor-driver
2.61E+01,3.16E+04,1008190,West Bay,0.053,2015,426055,1000SCF,field_process_gas,COMB_compressor-driver
0.03,1823.7,1009039,WPX Energy Permian LLC,0.003,2023,33498.69,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.04,2667,1013381,Enerplus Resources (USA) Corporation - Denver Basin,0.006,2018,27276.77,1000SCF,field_process_gas,COMB_compressor-driver
93.3,61676.6,1008587,Valence Operating Co 260 East Texas Basin,0.135,2021,1092041.748,1000SCF,field_process_gas,COMB_compressor-driver
0.23,5603.9,1012893,BlueCrest Alaska - 820 Cook Inlet Basin,0.045,2018,73.39806464,1000SCF,diesel,COMB_boiler>5MMBTU/hr
0.7,37000,1002157,Caelus Natural Resources Alaska 890 - Arctic Slope Basin,0.07,2015,680000,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
1.00E-02,6.64E+02,1009885,Primexx Operating Corp 430 Permian Basin,0.001,2019,12194,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.00E+00,473.1,1009165,Uinta Basin - Caerus Uintah,0.00E+00,2019,6.199302085,1000SCF,diesel,COMB_engine>1MMBTU/hr
3.26,80290.5,1008527,"Chesapeake Operating LLC, 230 - Arkla Basin",0.652,2015,1051.613675,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.19,4579,1012070,SilverCreek Chautauqua #355,0.037,2015,59.97444446,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,553.1,1010945,"EXCO Resources, Inc. - Gulf Coast Basin #220",0.001,2021,10159.01,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.58,11468.6,1008163,Berry Petroleum Company - San Joaquin Basin 745,0.117,2021,351134,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.00E+00,1.8,1008783,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,0.00E+00,2017,32.24,1000SCF,field_process_gas,COMB_compressor-driver
0.27,6584,1009278,515 Powder River Basin DEC,0.053,2022,86.23411805,1000SCF,diesel,COMB_engine>1MMBTU/hr
267.68,289256.1,1013123,BCE-Mach III LLC,0.521,2018,3840144.737,1000SCF,field_process_gas,COMB_compressor-driver
0.04,2341,1011995,Hilcorp Appalachian Basin (Eastern Overthrust Area),0.004,2021,43001,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.02,1189.9,1010294,Discovery Natural Resources LLC - 430 Permian Basin,0.002,2018,21857.31,1000SCF,field_process_gas,COMB_compressor-driver
1.14,28184.3,1009286,PDC Energy 540 Denver Basin,0.229,2015,369.147585,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.2,5034.4,1009785,LARAMIE ENERGY LLC - Piceance Basin (585),0.041,2023,65.93896473,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.02,521.2,1013346,"Urban Oil & Gas Group, LLC- Arkla Basin (230)",0.004,2023,6.826615471,1000SCF,diesel,COMB_engine>1MMBTU/hr
35.16,28172.3,1010183,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),0.052,2019,438901.6893,1000SCF,field_process_gas,COMB_compressor-driver
0.02,500.9,1012129,Callon Permian Basin Operations,0.005,2022,87559.24,1000SCF,propane,COMB_compressor-driver
0.02,1189.9,1010294,Discovery Natural Resources LLC - 430 Permian Basin,0.002,2020,21857.31,1000SCF,natural_gas_PQ,COMB_compressor-driver
2.8,68950.7,1009907,"Comstock Oil & Gas, LLC",0.559,2023,903.090395,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.14,7631.6,1011659,Endeavor Energy Resources LP 430 Permian Basin,0.014,2015,140160,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
1.28,31469.2,1009301,Seneca East Facilities,0.255,2017,412.1717628,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.07,26450.3,1010084,Rosetta Resources 220 Gulf Coast Basin,0.215,2016,346.4359671,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.36,19296.7,1012945,Basin 220 - Extex Operating Company,0.036,2020,354460.8,1000SCF,field_process_gas,COMB_compressor-driver
3.68E+02,90072.3,1010084,Rosetta Resources 220 Gulf Coast Basin,0.155,2017,1253284.392,1000SCF,field_process_gas,COMB_compressor-driver
0.9,17856.5,1009197,Whiting Oil and Gas Corporation 395 Williston Basin,0.2,2017,115500,1000SCF,propane,COMB_boiler>5MMBTU/hr
3.71,91518,1009056,Vital Energy Production,0.742,2017,1198.667994,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.02,868.1,1011652,"Urban 220 Gulf Coast Basin (LA, TX)",0.002,2020,14859.6,1000SCF,field_process_gas,COMB_compressor-driver
0.12,2860.5,1014504,CrownQuest Operating - Basin 430,0.023,2020,37.46550501,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.6,39332.8,1012780,Permian Basin Oil and Gas Production Facilities,0.319,2023,515.1658907,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,2,1014545,"EOG Resources, Inc. 580 San Juan basin",0.00E+00,2022,0.046788194,1000SCF,propane,COMB_boiler>5MMBTU/hr
0.05,1153.2,1009511,"Alta Mesa Services, LP",0.003,2015,28032,1000SCF,field_process_gas,COMB_compressor-driver
0.78,19111,1008492,"BPX Energy Arkla Basin, AAPG Basin 230",0.155,2015,250.3092928,1000SCF,diesel,COMB_engine>1MMBTU/hr
83.19,69109.8,1008287,360 Anadarko Basin DEC,0.131,2017,1063525.448,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,32.9,1007475,ConocoPhillips Anadarko (360),0.00E+00,2017,0.430451389,1000SCF,diesel,COMB_engine>1MMBTU/hr
215.75,247602.3,1009286,PDC Energy 540 Denver Basin,0.402,2021,3253390.7,1000SCF,field_process_gas,COMB_compressor-driver
8.86E+00,218320.3,1010233,EQT Production - Basin 160A - Appalachian Eastern Overthrust,1.771,2015,2859.478279,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,66.5,1008165,Berry Petroleum Company 585 Piceance Basin Production Segment,0.001,2018,0.871153403,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,165.4,1008958,"EXCO Resources, Inc. - East Texas Basin #260",0.00E+00,2015,3039,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.00E+00,67.2,1013044,PetroBal Omega 1 L.L.C.,0.01,2017,1233.7,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,0.00E+00,1009387,XTO Energy Inc 415 Strawn,0.00E+00,2020,0,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
3.00E-02,1.85E+03,1008958,"EXCO Resources, Inc. - East Texas Basin #260",0.003,2023,34054.74,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.07,1710.9,1014885,"Jetta Operating Company, Inc.",0.014,2023,22.40847049,1000SCF,diesel,COMB_engine>1MMBTU/hr
5.54,5613.4,1013601,Blackbeard Operating - 345 - Arkoma Basin,0.01,2023,77149.54,1000SCF,field_process_gas,COMB_compressor-driver
0.15,3885,1011963,345 Arkoma Bravo NR,0.00E+00,2016,50.88483509,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.43,22844.2,1009788,Nadel and Gussman Permian Basin No. 430,0.043,2015,419625.2941,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
1,1733.1,1009197,Whiting Oil and Gas Corporation 395 Williston Basin,0.002,2018,19332.75,1000SCF,field_process_gas,COMB_compressor-driver
1.20E-01,6475.3,1014356,Extex Operating Company - Basin 430,0.012,2021,118803.12,1000SCF,field_process_gas,COMB_compressor-driver
1.00E-02,389.7,1008199,Grizzly Arkoma Basin,0.001,2020,7201.09,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.00E+00,0.1,1008172,"Hilcorp North Slope, 890 - Arctic Slope Basin",0.00E+00,2022,0.001457118,1000SCF,gasoline,COMB_engine>1MMBTU/hr
4.73E+00,5806.9,1013304,Helis Oil & Gas LLC - Denver Basin (540) Operations,0.011,2019,71824.67,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1010396,Riviera Resources 260 East Texas Basin Production Segment,0.00E+00,2016,0,1000SCF,propane,COMB_compressor-driver
2.00E-02,8.78E+02,1014693,"EAV Operator, LLC",0.002,2022,16129.14,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.28,6856.6,1012021,Liberty Resources Managment LLC 395 Williston Basin,0.056,2018,89.80552781,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,99.5,1008219,"EOG Resources, Inc.220 Gulf Coast basin",0.001,2019,2.324838542,1000SCF,propane,COMB_boiler>5MMBTU/hr
0.06,3267.7,1011596,"Wapiti Operating, LLC 575 Uinta Basin",0.006,2021,59258.21,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
3.00E-02,545.8,1009811,ARKLATX BUSINESS UNIT-BASIN 260 (East TX Only),0.006,2023,9925,1000SCF,field_process_gas,COMB_compressor-driver
1.40E-01,7.39E+03,1012893,BlueCrest Alaska - 820 Cook Inlet Basin,0.014,2018,135733.3739,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.07,3817.5,1004905,Pacific Coast Energy Company LP,0.007,2015,67472,1000SCF,natural_gas_nonPQ,COMB_boiler>5MMBTU/hr
2.5,132794.3,1009706,"SilverBow Resources, LLC - Basin 220",0.25,2015,2439297.615,1000SCF,field_process_gas,COMB_compressor-driver
0.2,4205.1,1009106,Slawson Exploration - Williston Basin 395,0.04,2019,98.25520837,1000SCF,propane,COMB_boiler>5MMBTU/hr
0.00E+00,2.7,1008353,"EOG Resources, Inc. 535 Green River basin",0.00E+00,2020,0.035157986,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.77,20867,1010181,Ursa Resources Group II - 595 - Piceance Basin,0.122,2015,273.9717484,1000SCF,diesel,COMB_engine>1MMBTU/hr
7.71,7680.7,1008051,"Range Resources - Appalachia, LLC - Basin 160A",0.013,2017,107098.52,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.02,17.3,1008219,"EOG Resources, Inc.220 Gulf Coast basin",0.00E+00,2015,242,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
7.18,6877.7,1011652,"Urban 220 Gulf Coast Basin (LA, TX)",0.012,2022,99150,1000SCF,field_process_gas,COMB_compressor-driver
0.03,697.9,1011673,Holmes Western Oil Corporation,0.006,2018,9.140274309,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,261.2,1008199,Grizzly Arkoma Basin,0.00E+00,2018,4825,1000SCF,field_process_gas,COMB_compressor-driver
1.37,33866.9,1008632,"BPX Energy Permian Basin, AAPG Basin 430",0.275,2023,443.5758786,1000SCF,diesel,COMB_compressor-driver
3.39,83545.6,1008275,XTO Energy Inc 395 Williston,0.678,2019,1094.247549,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,79,1008608,"Evergreen Natural Resources, LLC. Las Vegas-Raton",0.001,2019,1.034914757,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.17,9180,1008402,California Resources Production Corporation  San Joaquin Valley Basin 745,0.017,2019,168627.6,1000SCF,natural_gas_PQ,COMB_compressor-driver
38.36,21165.5,1009720,"SN Operating, LLC 220 Gulf Coast Basin (LA, TX)",0.064,2022,521853,1000SCF,field_process_gas,COMB_compressor-driver
2.43,59879.2,1008472,CRI 360 Anadarko,0.486,2023,784.2747675,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.61,32539.5,1010233,EQT Production - Basin 160A - Appalachian Eastern Overthrust,0.061,2022,597717.05,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.18,4483.7,1008616,XTO Energy Inc 350 South Oklahoma Folded Belt,0.036,2020,58.7258146,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,32.7,1014413,Contango Basin 530,0.00E+00,2021,0.427777778,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.43,10642.2,1009830,"Sage Butte PRB Operating, LLC (Basin 515) Powder River Basin",0.086,2022,139.664632,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.33,57508.1,1014271,Novo Oil and Gas - Basin 430,0.467,2022,753.2189224,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.19,9919.7,1008890,Summit Petroleum LLC,0.019,2021,182215.6842,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.69,36810.7,1009683,"Laredo Energy 220 Gulf Basin (LA, TX)",0.069,2023,536574.1684,1000SCF,field_process_gas,COMB_compressor-driver
0.14,3128.1,1009511,"Alta Mesa Services, LP",0.009,2015,76036.8,1000SCF,field_process_gas,COMB_compressor-driver
3.80E-01,9327.4,1009490,Rosewood Resources Inc.,0.076,2021,122.1671841,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.55,2342.8,1008700,COTERRA ENERGY - 430 - PERMIAN BASIN,0.004,2019,33060.63,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
50.58,41668.7,1010621,TGNR East Texas Basin,0.078,2021,634213,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,85.3,1008885,"Tellus Operating Group, LLC - MS Operations",0.001,2019,0.55089757,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.19,4575.1,1008134,Ovintiv USA Inc. 350.South Oklahoma Folded Belt,0.037,2023,59.92337849,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,180.2,1009783,"White Oak Energy 220 Gulf Coast Basin (LA, TX)",0.001,2019,2.359729167,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.04,898.8,1009830,"Sage Butte PRB Operating, LLC (Basin 515) Powder River Basin",0.007,2020,10.86368403,1000SCF,diesel,COMB_engine>1MMBTU/hr
