facility_id,facility_name,industry_segment,reporting_year,small_ext_heat,small_in_theat,table_desc,table_num,total_number_of_units
1011185,Lime Rock Resources V-A Williston Basin 395,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,83.0000000000
1008622,535 Green River Basin - BP America Production Company,Onshore petroleum and natural gas production [98.230(a)(2)],2015,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2711.0000000000
1013334,Permian Gathering & Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3.0000000000
1009185,"Fundare Resources Operating Company, LLC",Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,73.0000000000
1012626,GATHERING/BOOSTING SAN JUAN BASIN 580,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1007021,Humboldt Utilities,Natural gas distribution [98.230(a)(8)],2023,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008475,EnverVest Operating L.L.C.- 430 HighMount Permian,Onshore petroleum and natural gas production [98.230(a)(2)],2015,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1004120,WISCONSIN ELECTRIC POWER COMPANY,Natural gas distribution [98.230(a)(8)],2022,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1005963,Red Willow Production Co.,Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1447.0000000000
1012784,"EOG Resources, Inc. 360 Anadarko Basin Gathering & Boosting",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,4.0000000000
1012612,Hilcorp Energy Company - Wind River Basin (530),Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,83.0000000000
1001390,Atmos Energy Corporation - Louisiana,Natural gas distribution [98.230(a)(8)],2017,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1014889,ASEO Eagleford Production Operations,Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,5.0000000000
1012239,DCP Midstream 450 Las Animas Arch,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,19.0000000000
1012218,Williams G&B Facility  Appalachian Basin 160,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2021,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3.0000000000
1011962,Paxton Resources,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,49.0000000000
1005963,Red Willow Production Co.,Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,791.0000000000
1006638,Southwest Gas - California,Natural gas distribution [98.230(a)(8)],2018,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008299,"LAMBDA ENERGY RESOURCES, LLC-Michigan Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2018,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,121.0000000000
1014503,Dominion Energy Ohio - Appalachian Basin Eastern Overthrust (Gath),Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,30.0000000000
1013221,Noble Midstream Services - Permian Basin 430,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,29.0000000000
1012687,EnverVest Operating L.L.C.- 430 Permian basin G&B,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,29.0000000000
1008590,Dominion Energy Wexpro - Green River Basin (Prod),Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1129.0000000000
1012040,"Tanos Exploration II, LLC - Basin 260",Onshore petroleum and natural gas production [98.230(a)(2)],2018,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,17.0000000000
1014639,Tall Oak 345 Arkoma GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,4.0000000000
1009282,575 Uinta Basin QEP Energy Company,Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1042.0000000000
1008890,Summit Petroleum LLC,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,222.0000000000
1008715,Anadarko Facility,Onshore petroleum and natural gas production [98.230(a)(2)],2017,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,0E-10
1008538,"Chesapeake Operating LLC, 515 - Powder River Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,209.0000000000
1014271,Novo Oil and Gas - Basin 430,Onshore petroleum and natural gas production [98.230(a)(2)],2022,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1007481,ConocoPhillips' Uinta (575),Onshore petroleum and natural gas production [98.230(a)(2)],2022,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1010738,"Cat Canyon Resources, LLC 750 Santa Maria Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,75.0000000000
1012466,350 South Oklahoma Folded Belt,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,15.0000000000
1008700,COTERRA ENERGY - 430 - PERMIAN BASIN,Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,288.0000000000
1009332,"Hilcorp Alaska, LLC 820 Kenai",Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,234.0000000000
1011873,"Lime Rock Resources III-A, Williston Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,329.0000000000
1014239,DGOC 420 Ft Worth Sync Production,Onshore petroleum and natural gas production [98.230(a)(2)],2022,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1013089,LOLA Energy PetroCo,Onshore petroleum and natural gas production [98.230(a)(2)],2020,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012365,WPX Energy Permian LLC Boosting and Gathering,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2021,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2123.0000000000
1012735,"SN Operating, LLC 220 Gulf Coast Basin (LA,TX) GB",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1009811,Breitburn Operating LP 260 East Texas,Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,15.0000000000
1009783,"White Oak Energy 220 Gulf Coast Basin (LA, TX)",Onshore petroleum and natural gas production [98.230(a)(2)],2015,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,130.0000000000
1009659,"Enervest Operating, L.L.C. 260 East Texas Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2016,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1011765,"EagleRidge Operating, LLC. Fort Worth Syncline Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2019,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012534,"Compass Production Partners, LP - Arkla Basin #230 Gathering & Boosting",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,6.0000000000
1012484,"MarkWest Energy East Texas Gas Company, L.L.C. - 260 East Texas Basin - G&B",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,28.0000000000
1009354,HighPoint Operating Corporation - Denver Basin (540),Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,552.0000000000
1012359,Vital Energy Midstream B&G,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,207.0000000000
1006887,Atmos Energy Corporation - Tennessee,Natural gas distribution [98.230(a)(8)],2023,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1011962,Paxton Resources,Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,48.0000000000
1012590,"Wapiti Operating, LLC-UintaGatheringAndBoosting",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,33.0000000000
1012200,KinderHawk Field Services LLC 230 Arkla Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,18.0000000000
1008788,"Texland Petroleum, LP, 430 - Permian Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2017,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,185.0000000000
1008529,"Chesapeake Operating LLC, 350 - South Oklahoma Folded Belt",Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,110.0000000000
1012457,"WTG Gas Processing, LLC 430 Permian Basin GB",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,23.0000000000
1002812,PSE&G,Natural gas distribution [98.230(a)(8)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,350.0000000000
1012386,Energy Transfer 420 - Fort Worth Syncline,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2021,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,8.0000000000
1008355,"TEP Rocky Mountain, LLC - 595 Piceance basin",Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3864.0000000000
1012601,"EQT Gathering, LLC - Basin 160 - Appalachian - GB",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,33.0000000000
1008598,"Duncan Oil Properties, Inc. 360 Anadarko Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2023,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,24.0000000000
1003056,"Bridge Energy, LLC - Brea Stearns Facility",Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,7.0000000000
1012545,415 Strawn BKV  GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,11.0000000000
1008714,Gulf Coast Facility,Onshore petroleum and natural gas production [98.230(a)(2)],2019,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,0E-10
1012811,"EnLink North Texas Gathering, LP G&B 420 - Fort Worth Syncline",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,6.0000000000
1010325,Oasis Petroleum,Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1546.0000000000
1013547,"Civitas North, LLC",Onshore petroleum and natural gas production [98.230(a)(2)],2020,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,5.0000000000
1008632,"BPX Energy Permian Basin, AAPG Basin 430",Onshore petroleum and natural gas production [98.230(a)(2)],2023,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,86.0000000000
1013264,Anschutz Exploration Corporation - Powder River Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2018,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,45.0000000000
1005240,"Entergy New Orleans, LLC Gas Business",Natural gas distribution [98.230(a)(8)],2016,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012504,"MarkWest Liberty Midstream & Resources, L.L.C. - 160A Appalachian Basin (Eastern Overthrust Area) - G&B",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,21.0000000000
1009785,LARAMIE ENERGY LLC - Piceance Basin (585),Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,420.0000000000
1012450,BASIN 305 G&B,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,15.0000000000
1007448,Chesapeake Utilities - MD Division,Natural gas distribution [98.230(a)(8)],2021,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1011752,SK Plymouth LLC Anadarko Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,126.0000000000
1008456,"Approach Operating, LLC 430 Permian Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,150.0000000000
1008078,XTO Energy Inc 507 Central Western Overthrust,Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2.0000000000
1000205,Okaloosa Gas District,Natural gas distribution [98.230(a)(8)],2022,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008270,Basin 540 Denver Julesburg - Noble Energy Inc.,Onshore petroleum and natural gas production [98.230(a)(2)],2022,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1013058,ETGP 260 East Texas GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3.0000000000
1013691,Ensight IV Energy Management,Onshore petroleum and natural gas production [98.230(a)(2)],2022,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,24.0000000000
1011873,"Lime Rock Resources III-A, Williston Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,347.0000000000
1013214,SEP Fort Worth Syncline 420 Production,Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,6.0000000000
1001389,Atmos Energy Corporation - Kentucky,Natural gas distribution [98.230(a)(8)],2016,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012541,XTO Energy Inc 430 Permian  GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1006640,Southwest Gas - Arizona,Natural gas distribution [98.230(a)(8)],2020,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008296,Caerus Piceance LLC,Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2380.0000000000
1008204,Green River Basin - AAPG Province 535,Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,15.0000000000
1012251,ALLP Greenriver Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,59.0000000000
1012195,Williams G&B Facility  Arkla Basin 230,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2.0000000000
1014326,DGOC 360 Anadarko Production,Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,921.0000000000
1012207,DCP Midstream 360 Anadarko Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,55.0000000000
1012544,420 Fort Worth Syncline BKV  GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2020,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,0E-10
1012146,Coastal Basin Gathering & Boosting - Chevron USA Inc.,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,48.0000000000
1011923,White Rock Oil & Gas LLC - 395 Williston,Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,725.0000000000
1011555,"Parsley Energy, Inc. 430 Permian Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2015,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,183.0000000000
1013339,Basin 360 - Mach,Onshore petroleum and natural gas production [98.230(a)(2)],2023,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1292.0000000000
1012351,CalNRG- Ventura Basin Gathering and Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1.0000000000
1011395,"White Star Petroleum, LLC",Onshore petroleum and natural gas production [98.230(a)(2)],2018,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012705,"Enervest Operating, L.L.C. 160A Appalachian Basin (Eastern Overthrust area) G&B",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2021,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012164,"Hilcorp Alaska, LLC 890 Basin, G&B",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1006503,DTE Energy Michcon LDC,Natural gas distribution [98.230(a)(8)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,166.0000000000
1012547,Riviera Resources 305 Michigan Basin Gathering and Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,31.0000000000
1010932,E&B Natural Resources,Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,22.0000000000
1012236,Williams G&B Facility  Appalachian Basin (Eastern Overthrust Area) 160A,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,199.0000000000
1008172,"Hilcorp North Slope, 890 - Arctic Slope Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2015,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,861.0000000000
1012558,Kinder Morgan Production 430 Permian Basin GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3.0000000000
1013087,Texas American 220 Gulf Coast Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,95.0000000000
1012397,Energy Transfer 400 - Ouachita Folded Belt,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2021,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1.0000000000
1003922,"Vermont Gas Systems, Inc.",Natural gas distribution [98.230(a)(8)],2015,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012472,345 Arkoma Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,4.0000000000
1011596,"Wapiti Operating, LLC 575 Uinta Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,243.0000000000
1011654,Urban 535 Green River Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,162.0000000000
1014375,UGC 595 Piceance,Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,764.0000000000
1009241,Chevron MCA 595 Piceance Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2015,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,353.0000000000
1008116,XTO Energy Inc 160A Appalachian E Overthrust,Onshore petroleum and natural gas production [98.230(a)(2)],2015,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,156.0000000000
1012569,515 Powder River Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2017,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,72.0000000000
1004180,Virginia Natural Gas,Natural gas distribution [98.230(a)(8)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,18.0000000000
1012361,CRPC  Sacramento Valley Basin Gathering and Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2.0000000000
1013128,"SN EF Maverick, LLC 220 Gulf Coast Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,289.0000000000
1012432,Durango Midstream - Permian Basin Gathering & Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,17.0000000000
1013128,"SN EF Maverick, LLC 220 Gulf Coast Basin",Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,31.0000000000
1012726,"EOG Resources, Inc. 430 Permian Basin Gathering & Boosting",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,447.0000000000
